theta_a,theta_d,x,y
54,94,-16.24062077,-97.13409253
54,95,-15.07311309,-96.12116752
54,96,-13.89205481,-95.09707205
54,97,-12.69886154,-94.060271
54,98,-11.49481745,-93.00934847
54,99,-10.28109162,-91.94298991
54,100,-9.058751338,-90.85996679
54,101,-7.828772918,-89.75912332
54,102,-6.592050569,-88.63936486
54,103,-5.349403543,-87.49964755
54,104,-4.101581885,-86.33896898
54,105,-2.849270964,-85.15635968
54,106,-1.593094944,-83.95087511
54,107,-0.333619305,-82.72158823
54,108,0.9286475,-81.46758221
54,109,2.193253208,-80.18794336
54,110,3.459801679,-78.88175402
54,111,4.727953625,-77.54808544
54,112,5.997428119,-76.18599033
54,113,7.268004943,-74.79449504
54,114,8.53952784,-73.37259129
54,115,9.811908755,-71.9192272
54,116,11.0851332,-70.43329742
54,117,12.3592669,-68.91363219
54,118,13.63446397,-67.35898515
54,119,14.91097684,-65.76801939
54,120,16.18916834,-64.13929156
54,121,17.46952637,-62.4712335
54,122,18.75268183,-60.76213075
54,123,20.03943039,-59.01009728
54,124,21.33075936,-57.2130455
54,125,22.62788076,-55.36865021
54,126,23.93227262,-53.47430496
54,127,25.2457306,-51.52706869
54,128,26.57043362,-49.52359962
54,129,27.90902782,-47.46007246
54,130,29.26473547,-45.33207339
54,131,30.64149839,-43.13446474
54,132,32.04416959,-40.86120795
54,133,33.47877431,-38.50512734
54,134,34.95287312,-36.0575886
54,135,36.47607942,-33.50804978
54,136,38.06081868,-30.84341664
54,137,39.7234811,-28.04708431
54,138,41.48624562,-25.09745314
54,139,43.38011874,-21.96550901
54,140,45.45033839,-18.61061374
54,141,47.76684782,-14.97252537
54,142,50.44717041,-10.95436053
54,143,53.71617365,-6.379105911
54,144,58.11909,-0.838393819
54,145,66.26458938,7.50720611
54,224,67.43274361,109.8888101
54,225,58.50667452,103.1256322
54,226,53.98032153,99.58723056
54,227,50.65546079,97.03157028
54,228,47.94277234,95.01827829
54,229,45.60515956,93.36072394
54,230,43.52019366,91.95769012
54,231,41.61554075,90.74646486
54,232,39.84464536,89.68475943
54,233,38.17571009,88.74232578
54,234,36.5860503,87.89656593
54,235,35.0589364,87.13002163
54,236,33.5817061,86.42884086
54,237,32.1445755,85.7817911
54,238,30.73985799,85.17959709
54,239,29.36143306,84.61448102
54,240,28.0043743,84.07983357
54,241,26.66468239,83.56997293
54,242,25.3390893,83.0799643
55,74,-16.39479545,-134.1056316
55,75,-23.84895238,-127.1230722
55,76,-25.67638833,-124.124644
55,77,-26.50827201,-121.8634002
55,78,-26.83573172,-119.9800439
55,79,-26.84735035,-118.3326952
55,80,-26.63899627,-116.847375
55,81,-26.26714284,-115.4794665
55,82,-25.76830064,-114.1994838
55,83,-25.16765367,-112.9866674
55,84,-24.48342751,-111.8257047
55,85,-23.72931193,-110.7048884
55,86,-22.91590075,-109.6150096
55,87,-22.05159541,-108.5486544
55,88,-21.14319704,-107.4997372
55,89,-20.1963088,-106.4631802
55,90,-19.21561741,-105.4346859
55,91,-18.20509543,-104.4105718
55,92,-17.16814963,-103.3876476
55,93,-16.10773199,-102.3631215
55,94,-15.02642414,-101.3345288
55,95,-13.92650242,-100.2996751
55,96,-12.80998879,-99.25659105
55,97,-11.67869098,-98.20349688
55,98,-10.53423453,-97.1387722
55,99,-9.378088539,-96.06093176
55,100,-8.211586507,-94.96860498
55,101,-7.035943293,-93.86051858
55,102,-5.852268945,-92.73548177
55,103,-4.661580024,-91.59237334
55,104,-3.464808846,-90.43013035
55,105,-2.262811012,-89.24773804
55,106,-1.056371484,-88.04422069
55,107,0.153790586,-86.81863325
55,108,1.367018098,-85.57005354
55,109,2.582713226,-84.2975748
55,110,3.800335497,-83.00029851
55,111,5.019400706,-81.67732738
55,112,6.239480603,-80.32775823
55,113,7.460203359,-78.9506748
55,114,8.681254813,-77.54514032
55,115,9.902380545,-76.1101896
55,116,11.12338883,-74.64482063
55,117,12.34415456,-73.14798548
55,118,13.56462424,-71.61858025
55,119,14.78482227,-70.05543396
55,120,16.00485867,-68.45729601
55,121,17.22493847,-66.82282193
55,122,18.44537329,-65.15055713
55,123,19.66659529,-63.43891796
55,124,20.88917432,-61.6861697
55,125,22.11383882,-59.89040053
55,126,23.34150156,-58.04949061
55,127,24.57329142,-56.16107501
55,128,25.81059305,-54.22249862
55,129,27.05509663,-52.23076109
55,130,28.30886098,-50.18244854
55,131,29.57439453,-48.07364798
55,132,30.85476036,-45.89983866
55,133,32.15371461,-43.65575198
55,134,33.47589154,-41.33518809
55,135,34.82705581,-38.93077104
55,136,36.21445355,-36.43361517
55,137,37.64731296,-33.83285913
55,138,39.13757925,-31.11499616
55,139,40.70103076,-28.26287793
55,140,42.35904607,-25.25417077
55,141,44.14154902,-22.05883717
55,142,46.09224721,-18.63475166
55,143,48.27878707,-14.91938606
55,144,50.8149314,-10.81205015
55,145,53.91847747,-6.128559941
55,146,58.11742115,-0.443733373
55,147,65.92409867,8.14960668
55,226,67.20504491,110.3549436
55,227,58.53705299,103.2336832
55,228,54.20270344,99.52646252
55,229,51.03809083,96.84702097
55,230,48.46668412,94.73238382
55,231,46.25723634,92.98710914
55,232,44.29059439,91.50550151
55,233,42.49648715,90.22222936
55,234,40.82976168,89.09332989
55,235,39.25962728,88.08741794
55,236,37.76415154,87.18108794
55,237,36.32718472,86.3562884
55,238,34.93652271,85.59871989
55,239,33.58275101,84.89680529
55,240,32.25848591,84.24099956
55,241,30.95785883,83.62331069
55,242,29.67615549,83.03695757
56,76,-13.08820254,-135.2532808
56,77,-19.53465725,-129.3313538
56,78,-21.41397543,-126.4315337
56,79,-22.30114319,-124.2153777
56,80,-22.68026442,-122.3533029
56,81,-22.73985425,-120.7132502
